"TokenNumber","TokenPadded","WorkID","ImagePath","ItemPage","Status","Note"
"1","0001","RE-001811","images/0001-0100/LCCC-0001.png","items/lccc-0001.html","OK",""
"2","0002","RE-001812","images/0001-0100/LCCC-0002.png","items/lccc-0002.html","OK",""
"3","0003","RE-001813","","items/lccc-0003.html","MISSING SOURCE IMAGE","No source image found for token #0003"
"4","0004","RE-001814","images/0001-0100/LCCC-0004.png","items/lccc-0004.html","OK",""
"5","0005","RE-001815","images/0001-0100/LCCC-0005.png","items/lccc-0005.html","OK",""
"6","0006","RE-001816","images/0001-0100/LCCC-0006.png","items/lccc-0006.html","OK",""
"7","0007","RE-001817","images/0001-0100/LCCC-0007.png","items/lccc-0007.html","OK",""
"8","0008","RE-001818","images/0001-0100/LCCC-0008.png","items/lccc-0008.html","OK",""
"9","0009","RE-001819","images/0001-0100/LCCC-0009.png","items/lccc-0009.html","OK",""
"10","0010","RE-001820","images/0001-0100/LCCC-0010.png","items/lccc-0010.html","OK",""
"11","0011","RE-001821","images/0001-0100/LCCC-0011.png","items/lccc-0011.html","OK",""
"12","0012","RE-001822","","items/lccc-0012.html","MISSING SOURCE IMAGE","No source image found for token #0012"
"13","0013","RE-001823","images/0001-0100/LCCC-0013.png","items/lccc-0013.html","OK",""
"14","0014","RE-001824","","items/lccc-0014.html","MISSING SOURCE IMAGE","No source image found for token #0014"
"15","0015","RE-001825","images/0001-0100/LCCC-0015.png","items/lccc-0015.html","OK",""
"16","0016","RE-001826","images/0001-0100/LCCC-0016.png","items/lccc-0016.html","OK",""
"17","0017","RE-001827","images/0001-0100/LCCC-0017.png","items/lccc-0017.html","OK",""
"18","0018","RE-001828","images/0001-0100/LCCC-0018.png","items/lccc-0018.html","OK",""
"19","0019","RE-001829","","items/lccc-0019.html","MISSING SOURCE IMAGE","No source image found for token #0019"
"20","0020","RE-001830","images/0001-0100/LCCC-0020.png","items/lccc-0020.html","OK",""
"21","0021","RE-001831","images/0001-0100/LCCC-0021.png","items/lccc-0021.html","OK",""
"22","0022","RE-001832","images/0001-0100/LCCC-0022.png","items/lccc-0022.html","OK",""
"23","0023","RE-001833","images/0001-0100/LCCC-0023.png","items/lccc-0023.html","OK",""
"24","0024","RE-001834","images/0001-0100/LCCC-0024.png","items/lccc-0024.html","OK",""
"25","0025","RE-001835","images/0001-0100/LCCC-0025.png","items/lccc-0025.html","OK",""
"26","0026","RE-001836","images/0001-0100/LCCC-0026.png","items/lccc-0026.html","OK",""
"27","0027","RE-001837","images/0001-0100/LCCC-0027.png","items/lccc-0027.html","OK",""
"28","0028","RE-001838","images/0001-0100/LCCC-0028.png","items/lccc-0028.html","OK",""
"29","0029","RE-001839","images/0001-0100/LCCC-0029.png","items/lccc-0029.html","OK",""
"30","0030","RE-001840","images/0001-0100/LCCC-0030.png","items/lccc-0030.html","OK",""
"31","0031","RE-001841","images/0001-0100/LCCC-0031.png","items/lccc-0031.html","OK",""
"32","0032","RE-001842","images/0001-0100/LCCC-0032.png","items/lccc-0032.html","OK",""
"33","0033","RE-001843","images/0001-0100/LCCC-0033.png","items/lccc-0033.html","OK",""
"34","0034","RE-001844","images/0001-0100/LCCC-0034.png","items/lccc-0034.html","OK",""
"35","0035","RE-001845","","items/lccc-0035.html","MISSING SOURCE IMAGE","No source image found for token #0035"
"36","0036","RE-001846","","items/lccc-0036.html","MISSING SOURCE IMAGE","No source image found for token #0036"
"37","0037","RE-001847","images/0001-0100/LCCC-0037.png","items/lccc-0037.html","OK",""
"38","0038","RE-001848","images/0001-0100/LCCC-0038.png","items/lccc-0038.html","OK",""
"39","0039","RE-001849","images/0001-0100/LCCC-0039.png","items/lccc-0039.html","OK",""
"40","0040","RE-001850","images/0001-0100/LCCC-0040.png","items/lccc-0040.html","OK",""
"41","0041","RE-001851","","items/lccc-0041.html","MISSING SOURCE IMAGE","No source image found for token #0041"
"42","0042","RE-001852","images/0001-0100/LCCC-0042.png","items/lccc-0042.html","OK",""
"43","0043","RE-001853","images/0001-0100/LCCC-0043.png","items/lccc-0043.html","OK",""
"44","0044","RE-001854","images/0001-0100/LCCC-0044.png","items/lccc-0044.html","OK",""
"45","0045","RE-001855","images/0001-0100/LCCC-0045.png","items/lccc-0045.html","OK",""
"46","0046","RE-001856","images/0001-0100/LCCC-0046.png","items/lccc-0046.html","OK",""
"47","0047","RE-001857","images/0001-0100/LCCC-0047.png","items/lccc-0047.html","OK",""
"48","0048","RE-001858","images/0001-0100/LCCC-0048.png","items/lccc-0048.html","OK",""
"49","0049","RE-001859","images/0001-0100/LCCC-0049.png","items/lccc-0049.html","OK",""
"50","0050","RE-001860","images/0001-0100/LCCC-0050.png","items/lccc-0050.html","OK",""
"51","0051","RE-001861","","items/lccc-0051.html","MISSING SOURCE IMAGE","No source image found for token #0051"
"52","0052","RE-001862","","items/lccc-0052.html","MISSING SOURCE IMAGE","No source image found for token #0052"
"53","0053","RE-001863","images/0001-0100/LCCC-0053.png","items/lccc-0053.html","OK",""
"54","0054","RE-001864","images/0001-0100/LCCC-0054.png","items/lccc-0054.html","OK",""
"55","0055","RE-001865","images/0001-0100/LCCC-0055.png","items/lccc-0055.html","OK",""
"56","0056","RE-001866","images/0001-0100/LCCC-0056.png","items/lccc-0056.html","OK",""
"57","0057","RE-001867","images/0001-0100/LCCC-0057.png","items/lccc-0057.html","OK",""
"58","0058","RE-001868","images/0001-0100/LCCC-0058.png","items/lccc-0058.html","OK",""
"59","0059","RE-001869","images/0001-0100/LCCC-0059.png","items/lccc-0059.html","OK",""
"60","0060","RE-001870","images/0001-0100/LCCC-0060.png","items/lccc-0060.html","OK",""
"61","0061","RE-001871","images/0001-0100/LCCC-0061.png","items/lccc-0061.html","OK",""
"62","0062","RE-001872","images/0001-0100/LCCC-0062.png","items/lccc-0062.html","OK",""
"63","0063","RE-001873","images/0001-0100/LCCC-0063.png","items/lccc-0063.html","OK",""
"64","0064","RE-001874","images/0001-0100/LCCC-0064.png","items/lccc-0064.html","OK",""
"65","0065","RE-001875","images/0001-0100/LCCC-0065.png","items/lccc-0065.html","OK",""
"66","0066","RE-001876","images/0001-0100/LCCC-0066.png","items/lccc-0066.html","OK",""
"67","0067","RE-001877","images/0001-0100/LCCC-0067.png","items/lccc-0067.html","OK",""
"68","0068","RE-001878","images/0001-0100/LCCC-0068.png","items/lccc-0068.html","OK",""
"69","0069","RE-001879","images/0001-0100/LCCC-0069.png","items/lccc-0069.html","OK",""
"70","0070","RE-001880","images/0001-0100/LCCC-0070.png","items/lccc-0070.html","OK",""
"71","0071","RE-001881","images/0001-0100/LCCC-0071.png","items/lccc-0071.html","OK",""
"72","0072","RE-001882","images/0001-0100/LCCC-0072.png","items/lccc-0072.html","OK",""
"73","0073","RE-001883","images/0001-0100/LCCC-0073.png","items/lccc-0073.html","OK",""
"74","0074","RE-001884","images/0001-0100/LCCC-0074.png","items/lccc-0074.html","OK",""
"75","0075","RE-001885","images/0001-0100/LCCC-0075.png","items/lccc-0075.html","OK",""
"76","0076","RE-001886","images/0001-0100/LCCC-0076.png","items/lccc-0076.html","OK",""
"77","0077","RE-001887","images/0001-0100/LCCC-0077.png","items/lccc-0077.html","OK",""
"78","0078","RE-001888","images/0001-0100/LCCC-0078.png","items/lccc-0078.html","OK",""
"79","0079","RE-001889","images/0001-0100/LCCC-0079.png","items/lccc-0079.html","OK",""
"80","0080","RE-001890","images/0001-0100/LCCC-0080.png","items/lccc-0080.html","OK",""
