"TokenNumber","TokenPadded","Title","WorkID","Range","SourceImagePath","SourceBytes","ImagePath","ImageFileName","DestinationImagePath","ItemPage","PublicPageURL","OpenSeaItemURL","Status","Note"
"1","0001","Light Cult Crypto Club #0001","RE-001811","0001-0100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-0001.png","28379","images/0001-0100/LCCC-0001.png","LCCC-0001.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0001.png","items/lccc-0001.html","https://ronenglish-archive.github.io/ron-english-light-cult-0001-1000/items/lccc-0001.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/1","OK",""
"2","0002","Light Cult Crypto Club #0002","RE-001812","0001-0100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-0002.png","32230","images/0001-0100/LCCC-0002.png","LCCC-0002.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0002.png","items/lccc-0002.html","https://ronenglish-archive.github.io/ron-english-light-cult-0001-1000/items/lccc-0002.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/2","OK",""
"3","0003","Light Cult Crypto Club #0003","RE-001813","0001-0100","","","","","","items/lccc-0003.html","https://ronenglish-archive.github.io/ron-english-light-cult-0001-1000/items/lccc-0003.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/3","MISSING SOURCE IMAGE","No source image found for token #0003"
"4","0004","Light Cult Crypto Club #0004","RE-001814","0001-0100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-0004.png","9099","images/0001-0100/LCCC-0004.png","LCCC-0004.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0004.png","items/lccc-0004.html","https://ronenglish-archive.github.io/ron-english-light-cult-0001-1000/items/lccc-0004.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/4","OK",""
"5","0005","Light Cult Crypto Club #0005","RE-001815","0001-0100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-0005.png","25383","images/0001-0100/LCCC-0005.png","LCCC-0005.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0005.png","items/lccc-0005.html","https://ronenglish-archive.github.io/ron-english-light-cult-0001-1000/items/lccc-0005.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/5","OK",""
"6","0006","Light Cult Crypto Club #0006","RE-001816","0001-0100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-0006.png","32955","images/0001-0100/LCCC-0006.png","LCCC-0006.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0006.png","items/lccc-0006.html","https://ronenglish-archive.github.io/ron-english-light-cult-0001-1000/items/lccc-0006.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/6","OK",""
"7","0007","Light Cult Crypto Club #0007","RE-001817","0001-0100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-0007.png","32342","images/0001-0100/LCCC-0007.png","LCCC-0007.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0007.png","items/lccc-0007.html","https://ronenglish-archive.github.io/ron-english-light-cult-0001-1000/items/lccc-0007.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/7","OK",""
"8","0008","Light Cult Crypto Club #0008","RE-001818","0001-0100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-0008.png","27981","images/0001-0100/LCCC-0008.png","LCCC-0008.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0008.png","items/lccc-0008.html","https://ronenglish-archive.github.io/ron-english-light-cult-0001-1000/items/lccc-0008.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8","OK",""
"9","0009","Light Cult Crypto Club #0009","RE-001819","0001-0100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-0009.png","5976","images/0001-0100/LCCC-0009.png","LCCC-0009.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0009.png","items/lccc-0009.html","https://ronenglish-archive.github.io/ron-english-light-cult-0001-1000/items/lccc-0009.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9","OK",""
"10","0010","Light Cult Crypto Club #0010","RE-001820","0001-0100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-0010.png","13055","images/0001-0100/LCCC-0010.png","LCCC-0010.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0010.png","items/lccc-0010.html","https://ronenglish-archive.github.io/ron-english-light-cult-0001-1000/items/lccc-0010.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/10","OK",""
"11","0011","Light Cult Crypto Club #0011","RE-001821","0001-0100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-0011.png","16875","images/0001-0100/LCCC-0011.png","LCCC-0011.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0011.png","items/lccc-0011.html","https://ronenglish-archive.github.io/ron-english-light-cult-0001-1000/items/lccc-0011.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/11","OK",""
"12","0012","Light Cult Crypto Club #0012","RE-001822","0001-0100","","","","","","items/lccc-0012.html","https://ronenglish-archive.github.io/ron-english-light-cult-0001-1000/items/lccc-0012.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/12","MISSING SOURCE IMAGE","No source image found for token #0012"
"13","0013","Light Cult Crypto Club #0013","RE-001823","0001-0100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-0013.png","12114","images/0001-0100/LCCC-0013.png","LCCC-0013.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0013.png","items/lccc-0013.html","https://ronenglish-archive.github.io/ron-english-light-cult-0001-1000/items/lccc-0013.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/13","OK",""
