"LocalFile","LocalPath","BestTokenID","BestTokenIDPadded","BestDistance","SecondBestTokenID","SecondBestDistance","Confidence","SuggestedFilename","ReferenceImagePath","MetadataName","OpenSeaURL","Notes"
"RE-001811.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001811.jpg","710","00710","0","702","1","REVIEW","Light-Cult-Crypto-Club-00710.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-150810\reference-images\Light-Cult-Crypto-Club-00710.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/710","Possible match. Review visually."
"RE-001812.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001812.jpg","205","00205","1","212","1","REVIEW","Light-Cult-Crypto-Club-00205.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-150810\reference-images\Light-Cult-Crypto-Club-00205.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/205","Possible match. Review visually."
"RE-001813.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001813.jpg","132","00132","1","541","2","REVIEW","Light-Cult-Crypto-Club-00132.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-150810\reference-images\Light-Cult-Crypto-Club-00132.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/132","Possible match. Review visually."
"RE-001814.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001814.jpg","201","00201","0","171","0","REVIEW","Light-Cult-Crypto-Club-00201.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-150810\reference-images\Light-Cult-Crypto-Club-00201.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/201","Possible match. Review visually."
"RE-001815.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001815.jpg","250","00250","4","535","6","REVIEW","Light-Cult-Crypto-Club-00250.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-150810\reference-images\Light-Cult-Crypto-Club-00250.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/250","Possible match. Review visually."
"RE-001816.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001816.jpg","268","00268","0","88","6","HIGH","Light-Cult-Crypto-Club-00268.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-150810\reference-images\Light-Cult-Crypto-Club-00268.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/268","Strong visual match. Still review before renaming."
"RE-001817.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001817.jpg","795","00795","4","419","6","REVIEW","Light-Cult-Crypto-Club-00795.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-150810\reference-images\Light-Cult-Crypto-Club-00795.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/795","Possible match. Review visually."
"RE-001818.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001818.jpg","350","00350","1","822","3","REVIEW","Light-Cult-Crypto-Club-00350.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-150810\reference-images\Light-Cult-Crypto-Club-00350.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/350","Possible match. Review visually."
"RE-001819.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001819.jpg","780","00780","8","59","8","REVIEW","Light-Cult-Crypto-Club-00780.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-150810\reference-images\Light-Cult-Crypto-Club-00780.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/780","Possible match. Review visually."
"RE-001820.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001820.jpg","508","00508","3","765","3","REVIEW","Light-Cult-Crypto-Club-00508.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-150810\reference-images\Light-Cult-Crypto-Club-00508.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/508","Possible match. Review visually."
